189,Alec Ingold,RB,MIA,17.0,23.9,30.7,0,0,0,0.0,0.0,3,13,0.3,18,14,99,0.7
190,Ryquell Armstead,RB,JAC,16.8,18.3,19.9,0,0,0,0.0,0.0,23,101,0.7,4,3,22,0.1
191,Darrynton Evans,RB,CHI,15.6,17.1,18.5,0,0,0,0.0,0.0,21,87,0.7,4,3,23,0.1
192,Trayveon Williams,RB,CIN,15.2,15.6,16.1,0,0,0,0.0,0.0,25,96,0.8,1,1,8,0.0
193,Jakob Johnson,RB,LV,15.2,22.4,29.6,0,0,0,0.0,0.0,3,10,0.1,19,14,104,0.6
194,Tyrion Davis-Price,RB,SF,14.7,17.1,19.5,0,0,0,0.0,0.0,18,63,0.6,7,5,42,0.2
195,Keith Smith,RB,ATL,14.5,20.2,25.9,0,0,0,0.0,0.0,14,57,0.0,15,11,74,0.3
196,Mike Burton,RB,KC,14.4,17.9,21.3,0,0,0,0.0,0.0,6,28,0.7,9,7,51,0.4
197,Eno Benjamin,RB,ARI,14.1,15.5,16.9,0,0,0,0.0,0.0,29,118,0.0,4,3,20,0.1
198,Chuba Hubbard,RB,CAR,13.4,15.0,16.7,0,0,0,0.0,0.0,19,81,0.4,4,3,22,0.1
199,Dontrell Hilliard,RB,TEN,12.9,14.6,16.2,0,0,0,0.0,0.0,19,87,0.2,4,3,23,0.1
200,Ben Mason,RB,BAL,12.7,18.5,24.3,0,0,0,0.0,0.0,4,13,0.1,15,12,76,0.6
201,Adam Prentice,RB,NO,10.5,15.6,20.8,0,0,0,0.0,0.0,3,13,0.1,13,10,68,0.3
202,Kylin Hill,RB,GB,10.1,11.3,12.4,0,0,0,0.0,0.0,19,82,0.0,3,2,17,0.1
203,Alex Armah,RB,WAS,8.0,10.9,13.8,0,0,0,0.0,0.0,8,35,0.0,8,6,31,0.3
204,Reggie Gilliam,RB,BUF,7.9,11.7,15.4,0,0,0,0.0,0.0,3,12,0.0,10,7,55,0.2
205,D’Ernest Johnson,RB,CLE,7.9,9.6,11.4,0,0,0,0.0,0.0,7,33,0.3,5,4,26,0.1
206,Corey Clement,RB,BAL,7.3,7.8,8.4,0,0,0,0.0,0.0,15,65,0.0,1,1,6,0.0
207,Gabe Nabers,RB,LAC,6.5,9.2,12.0,0,0,0,0.0,0.0,3,13,0.0,7,5,41,0.2
208,Tory Carter,RB,TEN,6.5,9.8,13.0,0,0,0,0.0,0.0,1,4,0.0,9,7,46,0.2
